event_id,En_MeV,x_mm,y_mm,z_mm,cosTheta,weight,time_ns,surface_id,surface_name
14004,0.485118,-32.94,-10.865,-5.59937,-0.145878,1,4.65666,2,side_x
24020,1.08039,32.94,-5.9414,1.31017,0.0542,1,3.70445,2,side_x
4023,0.169969,32.94,-5.95856,0.534093,0.240655,1,15.1637,2,side_x
26,0.205714,-17.8902,32.94,-10.9734,0.479698,1,9.0687,3,side_y
48032,0.497472,27.8749,-32.94,18.663,0.034449,1,6.99413,3,side_y
28036,1.48825,-32.94,-0.948303,19.4239,0.907406,1,4.72762,2,side_x
54037,1.3917,6.68341,32.94,-5.45776,0.353844,1,3.52018,3,side_y
38033,0.105474,-33.144,21.7471,10.7,0.702375,1,9.22762,2,side_x
38033,0.333649,-32.94,-17.51,-5.89793,-0.193091,1,11.2374,2,side_x
2037,0.19623,33.19,5.78604,4.76609,-0.209709,1,13.2351,2,side_x
50045,0.381869,-25.4078,-32.94,-6.19155,-0.19486,1,4.42426,3,side_y
30050,0.27453,32.94,7.33659,20.647,0.826457,1,8.57926,2,side_x
44049,0.00846233,1.29776,32.94,-21.7268,-0.334599,1,31.8281,3,side_y
26061,1.16171,32.94,-0.655741,9.2209,0.110792,1,4.67845,2,side_x
26061,0.0250743,5.93452,-32.94,-21.7691,-0.0847409,1,15.5256,3,side_y
50068,0.0046556,15.6015,32.94,14.8023,0.558063,1,28.6774,3,side_y
16068,0.428376,-9.3159,-32.94,-11.5914,-0.289828,1,4.02024,3,side_y
8080,0.679855,11.4192,-32.94,9.95811,-0.39008,1,4.12815,3,side_y
8082,0.299432,12.3538,-32.94,-15.4947,-0.423507,1,5.27955,3,side_y
12084,0.542763,32.94,-27.2778,6.06563,-0.169652,1,5.85044,2,side_x
38079,0.0105883,32.94,-18.3606,6.73955,0.425808,1,30.2446,2,side_x
6086,0.811133,-32.94,-1.42302,13.92,0.696111,1,6.43452,2,side_x
8088,0.331512,-13.9045,32.94,6.5603,-0.40598,1,7.54618,3,side_y
32103,2.02484,33.19,-20.5198,-22.6735,-0.231293,1,3.54776,2,side_x
44102,0.00932526,-32.94,-28.8674,21.1162,-0.749421,1,23.584,2,side_x
30117,0.202318,32.94,-6.53425,-11.0683,-0.0555859,1,6.58536,2,side_x
36123,0.485731,5.24151,32.94,21.8262,0.167552,1,7.94863,3,side_y
2122,0.918693,-13.4079,32.94,-6.02614,-0.0130644,1,4.33496,3,side_y
54134,0.217537,7.40406,32.94,-15.1076,-0.471454,1,22.9015,3,side_y
46128,0.723517,12.2958,-32.9993,-1.46,-0.781862,1,4.60284,3,side_y
28135,0.260028,19.4887,-33.19,-3.5539,0.185005,1,9.78424,3,side_y
6146,0.297887,32.94,-2.47186,10.2362,-0.156412,1,5.35655,2,side_x
2156,0.616794,-2.39488,-32.94,-21.8702,-0.202235,1,4.09249,3,side_y
52166,0.793628,-32.94,-23.548,9.84269,-0.158579,1,4.81221,2,side_x
44169,0.00129009,21.8195,-32.94,-6.39017,0.542326,1,99.6369,3,side_y
14181,1.13913,0.359868,32.94,-22.2587,-0.0450784,1,3.4703,3,side_y
46173,2.49423,-32.94,-19.4253,20.2512,0.664603,1,3.68743,2,side_x
38179,0.342239,-12.2478,33.0946,10.7,0.157385,1,7.44953,3,side_y
26192,0.480584,32.94,14.6138,-21.3687,-0.504813,1,4.40932,2,side_x
26197,0.240134,23.0049,32.94,-5.88185,0.702774,1,8.52462,3,side_y
54199,0.873603,25.4446,-32.94,-10.0459,0.0639603,1,4.07938,3,side_y
48196,0.549455,-33.19,30.2941,4.90433,0.429406,1,6.14374,2,side_x
32207,0.901828,-32.94,-27.1483,0.906487,0.239949,1,3.30534,2,side_x
22207,0.00982124,-10.8207,-32.94,1.07116,-0.373361,1,22.5002,3,side_y
28221,1.58824,9.03832,32.94,-5.62231,0.406723,1,3.25566,3,side_y
14226,0.658634,-6.53152,-33.19,-9.66458,0.00184484,1,3.98698,3,side_y
26227,0.996311,-19.604,32.94,15.7167,0.0219104,1,4.71229,3,side_y
32229,0.500433,-19.6217,32.94,22.1027,0.047821,1,9.09544,3,side_y
54233,0.9933,-22.4503,-32.94,9.8078,-0.124504,1,4.16097,3,side_y
4236,0.653473,32.94,-10.8073,-5.24866,0.611496,1,4.06706,2,side_x
54238,0.458921,33.19,-15.6794,-9.56513,0.435394,1,9.30696,2,side_x
10243,0.0395363,32.94,26.1382,-22.1581,-0.824245,1,18.9162,2,side_x
12248,0.575947,-32.94,10.5587,0.500139,-0.859679,1,4.96853,2,side_x
46235,0.752553,-32.94,12.7381,17.3338,-0.379907,1,5.69752,2,side_x
46240,0.172849,-32.94,-4.12722,5.00382,-0.0900343,1,12.1827,2,side_x
16259,0.107015,1.94244,32.94,14.3409,-0.642773,1,8.7613,3,side_y
22263,0.338928,26.7992,-32.94,-0.815675,0.426461,1,5.90939,3,side_y
16263,0.890576,33.1693,-0.61821,-14.62,0.243265,1,3.72197,2,side_x
48277,1.32303,1.08508,-32.94,16.5254,-0.0238537,1,3.06016,3,side_y
24277,0.505861,32.94,-6.5995,-21.3287,-0.537889,1,5.00787,2,side_x
40278,1.70434e-07,-32.9276,17.6102,12.95,-0.7015,1,6167.32,2,side_x
44281,1.29978,-11.7224,-33.19,-19.9681,-0.090739,1,4.14071,3,side_y
48293,6.16284e-05,27.8848,-32.94,8.64332,0.386057,1,214.848,3,side_y
16292,1.84411,-3.48135,32.94,-21.6076,-0.249351,1,3.12161,3,side_y
6306,1.37512,22.1017,32.94,-0.720097,0.457898,1,3.73743,3,side_y
32305,2.83597,33.1078,-18.6441,-7.54,-0.380808,1,3.0366,2,side_x
38304,0.218288,-32.94,-16.0337,-0.644709,0.10919,1,5.96582,2,side_x
30309,0.521302,32.0759,-32.94,-4.84236,-0.277134,1,5.79399,3,side_y
38307,0.00670116,32.94,-3.1613,15.064,0.47346,1,97.7034,2,side_x
10308,2.04737,10.9359,-32.94,-9.79926,0.134537,1,3.07135,3,side_y
50331,0.0917467,33.19,-23.9701,-1.22974,-0.00762025,1,10.7551,2,side_x
42320,0.705414,-16.1029,32.94,13.6636,0.00812076,1,5.52678,3,side_y
20324,0.449821,-32.9936,33.19,2.5728,-0.0341806,1,5.97221,2,side_x
20331,0.689287,-17.6196,32.94,-21.4985,-0.834103,1,4.7913,3,side_y
8345,2.1105,32.94,-16.0995,-12.0529,-0.136725,1,2.9821,2,side_x
44356,1.4778,32.94,-10.2189,7.43439,-0.0490255,1,2.94255,2,side_x
36365,1.01785,-32.94,-23.9028,-4.70344,-0.460834,1,3.53337,2,side_x
38369,0.0552892,32.94,-18.5142,8.05854,-0.0694526,1,12.0675,2,side_x
40381,1.70257,2.33411,-33.19,2.39022,0.0323686,1,2.82452,3,side_y
38372,1.18109,32.94,-21.3928,-10.749,-0.222562,1,6.54845,2,side_x
38372,0.542042,18.939,32.94,13.1862,0.82149,1,4.95504,3,side_y
4384,3.67562,-32.94,17.7976,13.655,0.632512,1,3.03641,2,side_x
46379,2.28252,-33.19,-20.0922,12.86,0.0777846,1,3.37294,2,side_x
28389,0.255604,-32.94,-20.5788,13.893,0.0972764,1,7.02159,2,side_x
54399,1.16622,0.852956,32.94,17.8549,0.654136,1,4.22732,3,side_y
42401,0.0132163,-32.94,-22.146,9.12881,-0.131104,1,16.4898,2,side_x
14425,1.76207,32.94,-26.1626,-4.42105,-0.491913,1,3.44034,2,side_x
38406,0.334627,32.94,-13.8456,6.32487,0.47379,1,14.2492,2,side_x
44425,1.03259,-32.94,-0.474447,15.6852,0.557534,1,1.62693,2,side_x
2406,0.659935,-32.94,1.3953,-6.59822,0.268281,1,4.23907,2,side_x
22434,0.0141346,32.94,-9.39698,-10.3658,-0.276546,1,31.959,2,side_x
32430,0.584681,32.94,-11.8824,20.9491,0.772373,1,6.37528,2,side_x
24418,0.107138,32.94,-29.8608,18.1488,0.42612,1,13.715,2,side_x
16425,0.695755,32.94,-3.30384,7.98426,-0.0888256,1,3.56356,2,side_x
2411,0.0072596,-32.94,2.66297,13.2181,-0.667416,1,66.1347,2,side_x
48437,1.23731,-27.6949,32.94,17.7191,0.645867,1,3.82262,3,side_y
40435,0.0728529,32.94,-7.40275,-0.304305,-0.0954948,1,15.3443,2,side_x
54446,1.1359,3.87953,-32.94,7.62146,0.481911,1,3.7726,3,side_y
4439,0.475424,32.94,6.39995,18.9296,0.589815,1,5.20546,2,side_x
439,1.2505,-32.94,-31.6266,5.21844,0.645451,1,3.40448,2,side_x
44451,1.04565,-32.94,6.0961,-4.929,-0.504953,1,3.4591,2,side_x
28450,0.917706,-32.9105,2.57047,22.53,0.694755,1,4.7347,2,side_x
28450,2.83381,32.94,8.71758,-21.0891,-0.317303,1,2.70934,2,side_x
14466,0.852183,32.94,-12.7318,10.3107,0.133438,1,4.0775,2,side_x
